Listing Number,Assessor's Parcel #,Property Type,ST,A,City,Days On Market,Total SqFt Livable,Baths,Bedrooms,List Date,Fallthrough Date,Withdrawal Date,Cancel Date,Exp Date,Under Contract Date,Sold Date,Original List Price,List Price,Sold Price,Parcel Acres Apx,Year Built,Status,Status Change Date,Original List Price per Sqft,List Price per Sqft,Sold Price per Sqft,Price Reduction?,% Price Reduced,Sale to List,Sale to Original List,Sub Type,Area,Valley
06-208257,RP05N170107840,Residential,SF,NK,Ketchum,363,7000,6.5,7,1/12/06,,,,,11/27/06,1/10/07,4850000,4850000,,4.98,1981,C,2007-01-17,,$693,$0,FALSE, ,0.00%,0.00%,Single Family Home,North of Ketchum,North Valley
06-208537,RPK09470E00040,Residential,CN,K,Ketchum,220,4030,3.5,3,2/7/06,,,,,,,4250000,2995000,,0,2003,E,2006-09-15,,$743,$0,TRUE,-29.53%,0.00%,0.00%,Condomium,Ketchum,North Valley
06-208969,TBD,Residential,TH,H,Hailey,43,1161,2.5,2,1/4/06,,,,,,2/16/06,284000,279000,265000,0.05,2005,C,2006-02-21,,$240,$228,TRUE,-1.76%,94.98%,93.31%,Townhouse,Hailey,South Valley
06-209249,RPH2N180100700,Residential,SF,H,Hailey,364,1400,1.5,2,1/1/06,,,,,,,695000,550000,,1.43,1985,E,2006-12-31,,$393,$0,TRUE,-20.86%,0.00%,0.00%,Single Family Home,Hailey,South Valley
06-209576,RP00170010030A,Residential,SF,MV,Hailey,644,4783,4.5,4,2/13/06,,,,,10/24/07,11/19/07,1750000,1500000,,1.05,2004,C,2007-11-20,,$314,$0,TRUE,-14.29%,0.00%,0.00%,Single Family Home,Mid Valley,Mid Valley
06-209643,0,Residential,CN,K,Ketchum,198,960,2,2,3/1/06,,,,,8/25/06,9/15/06,425000,379000,,0,1978,C,2006-09-21,,$395,$0,TRUE,-10.82%,0.00%,0.00%,Condomium,Ketchum,North Valley
06-209957,RP006000040050,Residential,SF,MV,N/A,191,2184,2,3,4/8/06,,,10/16/06,,,,1050000,895000,,0.46,1925,L,2006-10-16,,$410,$0,TRUE,-14.76%,0.00%,0.00%,Single Family Home,Mid Valley,Mid Valley
06-210153,RPS07600000070,Residential,CN,E,Sun Valley,62,2170,3,3,1/26/06,,,,,,3/29/06,950000,899000,875000,0,1981,C,2006-03-30,,$414,$403,TRUE,-5.37%,97.33%,92.11%,Condomium,Elkhorn,North Valley
06-210241,RPH04200040100,Residential,SF,H,Hailey,330,1985,2,4,1/1/06,,11/27/06,,,,,637000,489900,,0.4,1980,E,2007-08-31,,$247,$0,TRUE,-23.09%,0.00%,0.00%,Single Family Home,Hailey,South Valley
06-210284,RP000710010020,Residential,SF,MV,N/A,287,6822,5,3,2/13/06,,11/27/06,,,,,2900000,2595000,,2,2002,E,2007-03-13,,$380,$0,TRUE,-10.52%,0.00%,0.00%,Single Family Home,Mid Valley,Mid Valley
06-210443,RPK07070030140,Residential,CN,K,Ketchum,455,1000,2,2,1/1/06,,,,,,,467500,444000,,,1981,E,2007-04-01,,$444,$0,TRUE,-5.03%,0.00%,0.00%,Condomium,Ketchum,North Valley
06-211032,#RPK0916000029,Residential,CN,K,Ketchum,71,1092,1,2,1/1/06,,,,,,3/13/06,499000,499000,,0,2005,C,2006-03-13,,$457,$0,FALSE, ,0.00%,0.00%,Condomium,Ketchum,North Valley
06-211035,RP000300010004,Residential,SF,MV,Blaine County,204,4600,3,3,1/2/06,,,7/25/06,,,,1999000,1830000,,1.02,1978,L,2006-07-25,,$398,$0,TRUE,-8.45%,0.00%,0.00%,Single Family Home,Mid Valley,Mid Valley
06-211036,RPS07090034103,Residential,CN,E,Sun Valley,151,914,2,2,1/2/06,,,,,,,500000,500000,,0,1981,E,2006-06-02,,$547,$0,FALSE, ,0.00%,0.00%,Condomium,Elkhorn,North Valley
06-211045,RPSO727000430A,Residential,CN,E,Sun Valley,116,1532,2,3,1/2/06,,,4/28/06,,2/24/06,,759000,759000,,0,1980,L,2006-04-28,,$495,$0,FALSE, ,0.00%,0.00%,Condomium,Elkhorn,North Valley
06-211047,RPH03490010050,Residential,TH,H,Hailey,151,1392,2.5,3,1/4/06,,,,,,,365000,365000,,0.09,2005,E,2006-06-04,,$262,$0,FALSE, ,0.00%,0.00%,Townhouse,Hailey,South Valley
06-211049,RPH04750820070,Residential,SF,H,Hailey,236,1560,2,3,1/5/06,,8/14/06,8/29/06,,,,445000,445000,,0.18,1994,L,2006-08-29,,$285,$0,FALSE, ,0.00%,0.00%,Single Family Home,Hailey,South Valley
06-211050,RPK4N170131860,Residential,TH,K,Ketchum,364,3200,4.5,4,1/4/06,,1/3/07,,,,,2395000,2395000,,0.12,2006,E,2007-03-01,,$748,$0,FALSE, ,0.00%,0.00%,Townhouse,Ketchum,North Valley
06-211051,RPK4N170131860,Residential,TH,K,Ketchum,420,3200,4.5,4,1/4/06,,,,,1/8/07,2/28/07,2495000,2495000,,0.12,2006,C,2007-03-01,,$780,$0,FALSE, ,0.00%,0.00%,Townhouse,Ketchum,North Valley
06-211053,RPH04500070010,Residential,SF,H,Hailey,126,4053,4,3,1/5/06,,,,,4/27/06,5/11/06,895000,895000,,0.21,2005,C,2006-05-12,,$221,$0,FALSE, ,0.00%,0.00%,Single Family Home,Hailey,South Valley
06-211054,RP000700010060,Residential,SF,MV,Hailey,181,3400,4.5,4,1/4/06,,,,,,,1495000,1695000,,2,2001,E,2006-07-04,,$499,$0,FALSE,13.38%,0.00%,0.00%,Single Family Home,Mid Valley,Mid Valley
06-211055,RPH04750570080,Residential,SF,H,Hailey,71,1888,2,4,1/4/06,,3/16/06,,,,,380000,380000,,0.26,1982,E,2006-07-04,,$201,$0,FALSE, ,0.00%,0.00%,Single Family Home,Hailey,South Valley
06-211057,RPK077700A0010,Residential,CN,K,Ketchum,630,1190,2,2,1/6/06,,,,,,,565000,490000,,,1979,E,2007-09-28,,$412,$0,TRUE,-13.27%,0.00%,0.00%,Condomium,Ketchum,North Valley
06-211062,TBD,Residential,TH,H,Hailey,80,1933,2.5,3,1/8/06,,3/29/06,,,,,625000,625000,,0.09,2006,E,2006-06-01,,$323,$0,FALSE, ,0.00%,0.00%,Townhouse,Hailey,South Valley
06-211063,TBD,Residential,TH,H,Hailey,80,1933,2.5,3,1/8/06,,3/29/06,,,,,625000,625000,,0.09,2006,E,2006-06-01,,$323,$0,FALSE, ,0.00%,0.00%,Townhouse,Hailey,South Valley
